Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,topic_enc,diff_enc,target_enc,quiz_id,quiz_question,question,Correct_Option_Number
"Lateral inversion is a feature of plane
mirrors, in which:
A. The top part of the object appears to be the bottom part of the image.
B. The left side of the object appears to be the right side of the image.
C. Image appears to be inverted upside down and also sideways.
D. All of the above.",Physics,"Lateral inversion is a feature of plane
mirrors, in which:",The top part of the object appears to be the bottom part of the image.,The left side of the object appears to be the right side of the image.,Image appears to be inverted upside down and also sideways.,All of the above.,The top part of the object appears to be the bottom part of the image.,Optics,Easy,1013,3,73,91,Hard,electricity,5,1,0,QZ0401,"Lateral inversion is a feature of plane
mirrors, in which:
A. The top part of the object appears to be the bottom part of the image.
B. The left side of the object appears to be the right side of the image.
C. Image appears to be inverted upside down and also sideways.
D. All of the above.","Lateral inversion is a feature of plane
mirrors, in which:",1
"An object is placed at a distance of 15 \( \mathrm{cm} \) from a convex lens of focal length 10 \( \mathrm{cm} . \) On the other side of the lens, a convex mirror is placed such that its distance from the lens equals focal length of the lens. The focal length of the convex mirror is
A. 20 cm
B. \( 10 \mathrm{cm} \)
c. \( 15 \mathrm{cm} \)
D. 30 cm",Physics,"An object is placed at a distance of 15 \( \mathrm{cm} \) from a convex lens of focal length 10 \( \mathrm{cm} . \) On the other side of the lens, a convex mirror is placed such that its distance from the lens equals focal length of the lens. The focal length of the convex mirror is",20 cm,\( 10 \mathrm{cm} \),\( 15 \mathrm{cm} \),30 cm,20 cm,Optics,Easy,1055,6,89,259,Hard,mixed questions,5,1,3,QZ0159,"An object is placed at a distance of 15 \( \mathrm{cm} \) from a convex lens of focal length 10 \( \mathrm{cm} . \) On the other side of the lens, a convex mirror is placed such that its distance from the lens equals focal length of the lens. The focal length of the convex mirror is
A. 20 cm
B. \( 10 \mathrm{cm} \)
c. \( 15 \mathrm{cm} \)
D. 30 cm","An object is placed at a distance of 15 \( \mathrm{cm} \) from a convex lens of focal length 10 \( \mathrm{cm} . \) On the other side of the lens, a convex mirror is placed such that its distance from the lens equals focal length of the lens. The focal length of the convex mirror is",1
"SONAR works on the Principle of :
A. reflection of sound
B. reflections of waves
C. infrasonic waves.
D. all of the above",Physics,SONAR works on the Principle of :,reflection of sound,reflections of waves,infrasonic waves.,all of the above,reflection of sound,Optics,Easy,1023,9,62,133,Medium,electricity,5,2,0,QZ0088,"SONAR works on the Principle of :
A. reflection of sound
B. reflections of waves
C. infrasonic waves.
D. all of the above",SONAR works on the Principle of :,1
"Light of a single colour is passed through a liquid having a piece of glass suspended in it. On changing the temperature of liquid, at a particular temperature the glass piece is not seen. The glass piece is not seen when the refractive index of liquid becomes
the refractive index of the
glass.
A. greater than
B. less than
c. equal to
D. cant say",Physics,"Light of a single colour is passed through a liquid having a piece of glass suspended in it. On changing the temperature of liquid, at a particular temperature the glass piece is not seen. The glass piece is not seen when the refractive index of liquid becomes
the refractive index of the
glass.",greater than,less than,equal to,cant say,cant say,Optics,Easy,1005,2,63,45,Medium,electricity,5,2,0,QZ0448,"Light of a single colour is passed through a liquid having a piece of glass suspended in it. On changing the temperature of liquid, at a particular temperature the glass piece is not seen. The glass piece is not seen when the refractive index of liquid becomes
the refractive index of the
glass.
A. greater than
B. less than
c. equal to
D. cant say","Light of a single colour is passed through a liquid having a piece of glass suspended in it. On changing the temperature of liquid, at a particular temperature the glass piece is not seen. The glass piece is not seen when the refractive index of liquid becomes
the refractive index of the
glass.",4
"Assertion
\( \mathbf{A} \)
p-njunction with reverse bias can be used as a photo-diode to measure light intensity.
Reason
In a reverse bias condition the current
is small but is more sensitive to
changes in incident light intensity.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Assertion is incorrect but Reason are correct",Physics,"Assertion
\( \mathbf{A} \)
p-njunction with reverse bias can be used as a photo-diode to measure light intensity.
Reason
In a reverse bias condition the current
is small but is more sensitive to
changes in incident light intensity.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason are correct,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Optics,Easy,1015,1,95,105,Hard,mixed questions,5,1,3,QZ0184,"Assertion
\( \mathbf{A} \)
p-njunction with reverse bias can be used as a photo-diode to measure light intensity.
Reason
In a reverse bias condition the current
is small but is more sensitive to
changes in incident light intensity.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Assertion is incorrect but Reason are correct","Assertion
\( \mathbf{A} \)
p-njunction with reverse bias can be used as a photo-diode to measure light intensity.
Reason
In a reverse bias condition the current
is small but is more sensitive to
changes in incident light intensity.",1
"Which of the following properties of light conclusively support wave theory of light?
A. Light obeys laws of reflection
B. Speed of light in water is smaller than the speed in vacuum
c. Light doesn't show interferrence
D. Light shows photoelectric effect",Physics,Which of the following properties of light conclusively support wave theory of light?,Light obeys laws of reflection,Speed of light in water is smaller than the speed in vacuum,Light doesn't show interferrence,Light shows photoelectric effect,Light obeys laws of reflection,Optics,Easy,1001,8,32,52,Easy,kinematics,5,0,1,QZ0364,"Which of the following properties of light conclusively support wave theory of light?
A. Light obeys laws of reflection
B. Speed of light in water is smaller than the speed in vacuum
c. Light doesn't show interferrence
D. Light shows photoelectric effect",Which of the following properties of light conclusively support wave theory of light?,1
"Echo is due to
A. reflection of sound
B. refraction of sound
c. both reflection and refraction of sound
D. diffraction of sound",Physics,Echo is due to,reflection of sound,refraction of sound,both reflection and refraction of sound,diffraction of sound,refraction of sound,Optics,Easy,1006,2,85,239,Hard,mixed questions,5,1,3,QZ0285,"Echo is due to
A. reflection of sound
B. refraction of sound
c. both reflection and refraction of sound
D. diffraction of sound",Echo is due to,2
"When light is reflected from the a
spherical or curved surface:
A. the laws of reflections are followed
B. the laws of reflections are not followed
C. the laws of reflections may or may not be followed
D. one of the laws is followed, the other is not",Physics,"When light is reflected from the a
spherical or curved surface:",the laws of reflections are followed,the laws of reflections are not followed,the laws of reflections may or may not be followed,"one of the laws is followed, the other is not",the laws of reflections are followed,Optics,Easy,1055,5,50,161,Medium,thermodynamics ,5,2,6,QZ0277,"When light is reflected from the a
spherical or curved surface:
A. the laws of reflections are followed
B. the laws of reflections are not followed
C. the laws of reflections may or may not be followed
D. one of the laws is followed, the other is not","When light is reflected from the a
spherical or curved surface:",1
"The waves relevant to
telecommunications are
A. visible light
B. infrared
c. ultraviolet
D. microwave",Physics,"The waves relevant to
telecommunications are",visible light,infrared,ultraviolet,microwave,visible light,Optics,Easy,1088,10,73,78,Hard,electricity,5,1,0,QZ0452,"The waves relevant to
telecommunications are
A. visible light
B. infrared
c. ultraviolet
D. microwave","The waves relevant to
telecommunications are",1
"Concave lens is used to correct
A. Myopia
B. Presbiopia
C. Hypermetropia
D. cataract",Physics,Concave lens is used to correct,Myopia,Presbiopia,Hypermetropia,cataract,Hypermetropia,Optics,Easy,1030,10,54,248,Medium,mechanics,5,2,2,QZ0032,"Concave lens is used to correct
A. Myopia
B. Presbiopia
C. Hypermetropia
D. cataract",Concave lens is used to correct,3
"On passing white light through a glass prism. Which colour ray will deviate maximum towards its base?
A. Red
B. Yellow
c. Вlue
D. Violet",Physics,On passing white light through a glass prism. Which colour ray will deviate maximum towards its base?,Red,Yellow,Вlue,Violet,Red,Optics,Easy,1094,3,48,278,Medium,mechanics,5,2,2,QZ0255,"On passing white light through a glass prism. Which colour ray will deviate maximum towards its base?
A. Red
B. Yellow
c. Вlue
D. Violet",On passing white light through a glass prism. Which colour ray will deviate maximum towards its base?,1
"A ray of light passes from air into water. The angle of refraction will be
A. Equal to the angle of incidence
B. Smaller than the angle of incidence
c. Greater than the angle of incidence
D. Equal to 45",Physics,A ray of light passes from air into water. The angle of refraction will be,Equal to the angle of incidence,Smaller than the angle of incidence,Greater than the angle of incidence,Equal to 45,Equal to the angle of incidence,Optics,Easy,1072,6,62,172,Medium,electricity,5,2,0,QZ0037,"A ray of light passes from air into water. The angle of refraction will be
A. Equal to the angle of incidence
B. Smaller than the angle of incidence
c. Greater than the angle of incidence
D. Equal to 45",A ray of light passes from air into water. The angle of refraction will be,1
"For transistor action which of the
following statements is correct?
This question has multiple correct options
A. Base, emitter and collector regions should have similar size and doping concentration.
B. The base region must be very thin and lightly doped.
C. The emitter junction is forward biased and collector junction is reverse biased.
D. Both emitter junction and collection junction are forward biased.",Physics,"For transistor action which of the
following statements is correct?
This question has multiple correct options","Base, emitter and collector regions should have similar size and doping concentration.",The base region must be very thin and lightly doped.,The emitter junction is forward biased and collector junction is reverse biased.,Both emitter junction and collection junction are forward biased.,"Base, emitter and collector regions should have similar size and doping concentration.",Optics,Easy,1066,7,57,207,Medium,mechanics,5,2,2,QZ0442,"For transistor action which of the
following statements is correct?
This question has multiple correct options
A. Base, emitter and collector regions should have similar size and doping concentration.
B. The base region must be very thin and lightly doped.
C. The emitter junction is forward biased and collector junction is reverse biased.
D. Both emitter junction and collection junction are forward biased.","For transistor action which of the
following statements is correct?
This question has multiple correct options",1
"A spherical mirror and a thin spherical lens have focal length of \( -20 \mathrm{cm} . \) The mirror and lens will be:
A. Both concave
B. Both convex
c. Mirror is concave and the lens is convex
D. Mirror is convex but lens is concave",Physics,A spherical mirror and a thin spherical lens have focal length of \( -20 \mathrm{cm} . \) The mirror and lens will be:,Both concave,Both convex,Mirror is concave and the lens is convex,Mirror is convex but lens is concave,Both concave,Optics,Easy,1023,5,43,266,Medium,mechanics,5,2,2,QZ0385,"A spherical mirror and a thin spherical lens have focal length of \( -20 \mathrm{cm} . \) The mirror and lens will be:
A. Both concave
B. Both convex
c. Mirror is concave and the lens is convex
D. Mirror is convex but lens is concave",A spherical mirror and a thin spherical lens have focal length of \( -20 \mathrm{cm} . \) The mirror and lens will be:,1
"As the thickness of the atmosphere increases colour of scattered light is
found in
A. Blue, violet, yellow, red
B. Violet, blue, yellow, red
c. Red, yellow, blue, violet
D. Violet, blue, red, yellow",Physics,"As the thickness of the atmosphere increases colour of scattered light is
found in","Blue, violet, yellow, red","Violet, blue, yellow, red","Red, yellow, blue, violet","Violet, blue, red, yellow","Blue, violet, yellow, red",Optics,Easy,1002,4,28,167,Easy,optics,5,0,5,QZ0314,"As the thickness of the atmosphere increases colour of scattered light is
found in
A. Blue, violet, yellow, red
B. Violet, blue, yellow, red
c. Red, yellow, blue, violet
D. Violet, blue, red, yellow","As the thickness of the atmosphere increases colour of scattered light is
found in",1
"An object \( 20 \mathrm{cm} \) from a concave mirror form an image, double the size of the object, on a screen. How far should the screen be placed from the mirror?
A. -40 cm
B. 40 cm
c. \( 20 \mathrm{cm} \)
D. -20 cm
E. 30 \( \mathrm{cm} \)",Physics,"An object \( 20 \mathrm{cm} \) from a concave mirror form an image, double the size of the object, on a screen. How far should the screen be placed from the mirror?",-40 cm,40 cm,\( 20 \mathrm{cm} \),"-20 cm
E. 30 \( \mathrm{cm} \)",-40 cm,Optics,Easy,1023,9,50,147,Medium,mechanics,5,2,2,QZ0180,"An object \( 20 \mathrm{cm} \) from a concave mirror form an image, double the size of the object, on a screen. How far should the screen be placed from the mirror?
A. -40 cm
B. 40 cm
c. \( 20 \mathrm{cm} \)
D. -20 cm
E. 30 \( \mathrm{cm} \)","An object \( 20 \mathrm{cm} \) from a concave mirror form an image, double the size of the object, on a screen. How far should the screen be placed from the mirror?",1
"Light rays (gold) are shown passing across the boundaries of different
colored transparent materials in three different cases below. The black dashed
line segments represent normal to the surfaces. Four different materials are
shown

Based on the way that the light moves through the materials, what is the ranking of the materials according to the values of their indices of refraction,
greatest first?
A. red, green. blue, purple.
B. purple, green, red, blue
c. blue, green, purple, red
D . . red, green, purple
E . green, purple, red, blue",Physics,"Light rays (gold) are shown passing across the boundaries of different
colored transparent materials in three different cases below. The black dashed
line segments represent normal to the surfaces. Four different materials are
shown

Based on the way that the light moves through the materials, what is the ranking of the materials according to the values of their indices of refraction,
greatest first?","are shown passing across the boundaries of different
colored transparent materials in three different cases below. The black dashed
line segments represent normal to the surfaces. Four different materials are
shown

Based on the way that the light moves through the materials, what is the ranking of the materials according to the values of their indices of refraction,
greatest first?","red, green. blue, purple.","purple, green, red, blue","blue, green, purple, red
D . . red, green, purple
E . green, purple, red, blue","are shown passing across the boundaries of different
colored transparent materials in three different cases below. The black dashed
line segments represent normal to the surfaces. Four different materials are
shown

Based on the way that the light moves through the materials, what is the ranking of the materials according to the values of their indices of refraction,
greatest first?",Optics,Easy,1002,2,97,186,Hard,mixed questions,5,1,3,QZ0206,"Light rays (gold) are shown passing across the boundaries of different
colored transparent materials in three different cases below. The black dashed
line segments represent normal to the surfaces. Four different materials are
shown

Based on the way that the light moves through the materials, what is the ranking of the materials according to the values of their indices of refraction,
greatest first?
A. red, green. blue, purple.
B. purple, green, red, blue
c. blue, green, purple, red
D . . red, green, purple
E . green, purple, red, blue","Light rays (gold) are shown passing across the boundaries of different
colored transparent materials in three different cases below. The black dashed
line segments represent normal to the surfaces. Four different materials are
shown

Based on the way that the light moves through the materials, what is the ranking of the materials according to the values of their indices of refraction,
greatest first?",1
"Which of the following statements is
true?
A. The image formed by a pinhole camera is inverted because light travels in a straight line.
B. Light does not change its direction on reflection.
C. As we move the object away from the light source, the shadow of the object becomes smaller.
D. Reflection is possible only from polished surface.",Physics,"Which of the following statements is
true?",The image formed by a pinhole camera is inverted because light travels in a straight line.,Light does not change its direction on reflection.,"As we move the object away from the light source, the shadow of the object becomes smaller.",Reflection is possible only from polished surface.,The image formed by a pinhole camera is inverted because light travels in a straight line.,Optics,Easy,1008,1,72,104,Hard,modern physics,5,1,4,QZ0004,"Which of the following statements is
true?
A. The image formed by a pinhole camera is inverted because light travels in a straight line.
B. Light does not change its direction on reflection.
C. As we move the object away from the light source, the shadow of the object becomes smaller.
D. Reflection is possible only from polished surface.","Which of the following statements is
true?",1
"Cataract is a condition of eye when:
A. eye sight becomes foggy
B. eye lens becomes cloudy
C. there is a loss of vision
D. all of the above",Physics,Cataract is a condition of eye when:,eye sight becomes foggy,eye lens becomes cloudy,there is a loss of vision,all of the above,eye sight becomes foggy,Optics,Easy,1085,9,64,98,Medium,modern physics,5,2,4,QZ0297,"Cataract is a condition of eye when:
A. eye sight becomes foggy
B. eye lens becomes cloudy
C. there is a loss of vision
D. all of the above",Cataract is a condition of eye when:,1
"If the light moving in a straight line bends by small but fixed angle while entering in different medium, it may be a case of :
A. reflection of light
B. refraction of light
c. scattering of light
D. dispersion of light",Physics,"If the light moving in a straight line bends by small but fixed angle while entering in different medium, it may be a case of :",reflection of light,refraction of light,scattering of light,dispersion of light,reflection of light,Optics,Easy,1063,2,73,247,Hard,electricity,5,1,0,QZ0332,"If the light moving in a straight line bends by small but fixed angle while entering in different medium, it may be a case of :
A. reflection of light
B. refraction of light
c. scattering of light
D. dispersion of light","If the light moving in a straight line bends by small but fixed angle while entering in different medium, it may be a case of :",1
